# 家卫 · MAC 厂商（OUI）精简表
# 生成方式: python tools/build_oui_table.py --from wireshark
# 数据来源: https://www.wireshark.org/download/automated/data/manuf
# 过滤策略: 家庭 / 国产设备厂商白名单
# 字段: prefix,vendor,vendor_cn,device_hint
# 说明: device_hint 只在厂商几乎只做该品类时才填，其余留空 —— 不猜。
prefix,vendor,vendor_cn,device_hint
08:f9:e0,Espressif,Espressif / 乐鑫,
08:fa:28,HuaweiTechno,华为,
08:fc:88,SamsungElect,Samsung / 三星,
08:fd:0e,SamsungElect,Samsung / 三星,
08:fd:58,HuaweiTechno,华为,
08:ff:24,SkyworthDigi,创维,tv
08:ff:44,Apple,Apple,
0c:01:4b,zte,中兴,
0c:01:a5,zte,中兴,
0c:02:bd,SamsungElect,Samsung / 三星,
0c:07:df,XiaomiCommun,小米,
0c:07:f3,HuaweiTechno,华为,
0c:0e:cb,HuaweiDevice,华为,
0c:12:62,zte,中兴,
0c:14:20,SamsungElect,Samsung / 三星,
0c:15:39,Apple,Apple,
0c:15:63,Apple,Apple,
0c:17:73,HuaweiDevice,华为,
0c:18:4e,HuaweiTechno,华为,
0c:19:f8,Apple,Apple,
0c:1d:af,XiaomiCommun,小米,
0c:23:8d,HuaweiTechno,华为,
0c:2c:54,HuaweiTechno,华为,
0c:2c:7c,SkyworthDigi,创维,tv
0c:2d:71,Apple,Apple,
0c:2e:57,HuaweiTechno,华为,
0c:2f:b0,SamsungElect,Samsung / 三星,
0c:30:21,Apple,Apple,
0c:31:dc,HuaweiTechno,华为,
0c:32:3a,SamsungElect,Samsung / 三星,
0c:37:47,zte,中兴,
0c:37:dc,HuaweiTechno,华为,
0c:3b:50,Apple,Apple,
0c:3e:9f,Apple,Apple,
0c:41:e9,HuaweiTechno,华为,
0c:44:c0,zte,中兴,
0c:45:ba,HuaweiTechno,华为,
0c:4b:54,TpLinkTechno,TP-Link,router
0c:4d:e9,Apple,Apple,
0c:4e:a0,Espressif,Espressif / 乐鑫,
0c:4f:9b,HuaweiTechno,华为,
0c:51:01,Apple,Apple,
0c:51:7e,Apple,Apple,
0c:53:b7,Apple,Apple,
0c:67:43,HuaweiTechno,华为,
0c:6a:c4,Apple,Apple,
0c:6f:8b,Apple,Apple,
0c:70:4a,HuaweiTechno,华为,
0c:71:5d,SamsungElect,Samsung / 三星,
0c:72:2c,TpLinkTechno,TP-Link,router
0c:72:d9,zte,中兴,
0c:74:c2,Apple,Apple,
0c:75:d2,HikvisionDig,海康威视,camera
0c:77:1a,Apple,Apple,
0c:80:63,TpLinkTechno,TP-Link,router
0c:82:68,TpLinkTechno,TP-Link,router
0c:83:06,HuaweiDevice,华为,
0c:83:9a,HuaweiDevice,华为,
0c:84:08,HuaweiTechno,华为,
0c:85:e1,Apple,Apple,
0c:89:10,SamsungElect,Samsung / 三星,
0c:8b:95,Espressif,Espressif / 乐鑫,
0c:8b:a2,HuaweiTechno,华为,
0c:8d:ca,SamsungElect,Samsung / 三星,
0c:8f:ff,HuaweiTechno,华为,
0c:90:43,RealmeChongq,realme,
0c:96:bf,HuaweiTechno,华为,
0c:96:cd,Mercury,水星 / Mercury,router
0c:98:38,XiaomiCommun,小米,
0c:9d:92,ASUSTekCOMPU,华硕,router
0c:a3:b2,Apple,Apple,
0c:a6:4c,EzvizSoftwar,萤石,camera
0c:a8:a7,SamsungElect,Samsung / 三星,
0c:a9:4a,SkyworthDigi,创维,tv
0c:b3:19,SamsungElect,Samsung / 三星,
0c:b5:27,HuaweiTechno,华为,
0c:b5:b3,HuaweiDevice,华为,
0c:b7:87,HuaweiTechno,华为,
0c:b7:89,HonorDevice,荣耀,
0c:b7:8e,HuaweiDevice,华为,
0c:b7:ec,HuaweiTechno,华为,
0c:b8:15,Espressif,Espressif / 乐鑫,
0c:b9:83,HonorDevice,荣耀,
0c:bc:9f,Apple,Apple,
0c:be:f1,HuaweiDevice,华为,
0c:c4:13,Google,Google,speaker
0c:c5:6c,Apple,Apple,
0c:c6:cc,HuaweiTechno,华为,
0c:c6:fd,XiaomiCommun,小米,
0c:cc:5d,Apple,Apple,
0c:d6:bd,HuaweiTechno,华为,
0c:d7:46,Apple,Apple,
0c:db:ea,Apple,Apple,
0c:dc:7e,Espressif,Espressif / 乐鑫,
0c:df:a4,SamsungElect,Samsung / 三星,
0c:e0:dc,SamsungElect,Samsung / 三星,
0c:e4:41,Apple,Apple,
0c:e4:a0,HuaweiDevice,华为,
0c:e5:a1,Apple,Apple,
0c:e5:b5,HuaweiTechno,华为,
0c:e6:23,HuaweiDevice,华为,
0c:e6:7c,RealmeChongq,realme,
0c:ea:14,Ubiquiti,Ubiquiti,router
0c:ed:c8,XiaomiCommun,小米,
0c:ef:15,TPLink,TP-Link,router
0c:f0:7b,SkyworthDigi,创维,tv
0c:f3:46,XiaomiCommun,小米,
0c:fc:18,HuaweiTechno,华为,
10:00:20,Apple,Apple,
10:00:3b,Espressif,Espressif / 乐鑫,
10:01:77,HuaweiTechno,华为,
10:06:1c,Espressif,Espressif / 乐鑫,
10:07:b6,SamsungElect,Samsung / 三星,
10:0c:6b,Netgear,NETGEAR,router
10:0d:7f,Netgear,NETGEAR,router
10:0d:8c,HuaweiDevice,华为,
10:10:81,zte,中兴,
10:12:d0,zte,中兴,
10:12:fb,HikvisionDig,海康威视,camera
10:1b:54,HuaweiTechno,华为,
10:1c:0c,Apple,Apple,
10:1d:c0,SamsungElect,Samsung / 三星,
10:20:ba,Espressif,Espressif / 乐鑫,
10:24:07,HuaweiTechno,华为,
10:27:f5,TPLink,TP-Link,router
10:29:59,Apple,Apple,
10:29:ab,SamsungElect,Samsung / 三星,
10:2a:b3,XiaomiCommun,小米,
10:2b:41,SamsungElect,Samsung / 三星,
10:2f:ca,Apple,Apple,
10:30:25,Apple,Apple,
10:30:47,SamsungElect,Samsung / 三星,
10:32:1d,HuaweiTechno,华为,
10:32:7e,HuaweiDevice,华为,
10:39:17,SamsungElect,Samsung / 三星,
10:39:4e,Hisensebroad,海信,tv
10:3b:54,HuaweiTechno,华为,
10:3b:59,SamsungElect,Samsung / 三星,
10:3c:59,zte,中兴,
10:3f:44,XiaomiCommun,小米,
